nama,kalori_kkal,lemak_total_g,sodium_mg,potasium_mg,serat_g,gula_g,protein_g,kalsium_mg,zat_besi_mg,vitamin_a,vitamin_e,vitamin_k,vitamin_c,vitamin_b_kompleks,deskripsi,gambar_url
Alpukat,160,14.7,7,485,6.7,0.7,2,12,0.6,0,1,1,1,1,"Alpukat adalah buah yang memiliki kulit hijau gelap dan daging lembut dengan kandungan nutrisi yang kaya seperti lemak sehat, serat, vitamin, dan mineral. Manfaat alpukat termasuk mendukung kesehatan jantung dengan lemak tak jenuh tunggal yang dapat menurunkan kadar kolesterol jahat (LDL) dan meningkatkan kadar kolesterol baik (HDL). Selain itu, alpukat juga mengandung serat tinggi yang baik untuk pencernaan, vitamin dan mineral penting untuk kesehatan tulang, serta berperan dalam menjaga sistem kekebalan tubuh dan mengurangi risiko penyakit kronis.",https://storage.googleapis.com/cooke_storage/food/alpukat.png
Anggur,69,0.4,2,191,0.9,16,0.6,14,0.3,0,0,1,1,1,"Anggur adalah buah berbentuk bulat dengan kulit yang bisa berwarna hijau, merah, atau ungu. Dalam anggur terdapat biji-biji kecil dan daging buah yang juicy dan manis. Manfaat anggur termasuk mengandung senyawa antioksidan seperti resveratrol yang dapat melindungi tubuh dari kerusakan sel dan penyakit jantung. Selain itu, anggur juga mengandung serat yang baik untuk pencernaan, vitamin C yang membantu meningkatkan sistem kekebalan tubuh, dan mineral seperti kalium yang penting untuk kesehatan jantung dan fungsi otot.",https://storage.googleapis.com/cooke_storage/food/anggur.png
Apel,52,0.2,1,107,2.4,10.4,0.3,6,0.1,1,1,1,1,1,"Apel adalah buah bulat dengan kulit yang bisa berwarna merah, hijau, atau kuning. Daging buahnya renyah dan manis, dengan biji di tengahnya. Manfaat apel termasuk mengandung serat tinggi yang baik untuk pencernaan dan menjaga kesehatan usus. Apel juga mengandung antioksidan, seperti quercetin, yang dapat melindungi sel-sel tubuh dari kerusakan oksidatif. Selain itu, apel kaya akan vitamin C yang membantu meningkatkan sistem kekebalan tubuh, serta memiliki kandungan air yang tinggi, menjadikannya buah yang baik untuk menjaga hidrasi tubuh.",https://storage.googleapis.com/cooke_storage/food/apel.png
Jambu,68,1,2,417,5.4,8.9,2.6,18,0.3,1,1,1,1,1,"Jambu adalah buah berbentuk bulat dengan kulit tipis yang bisa berwarna hijau atau merah. Daging buahnya berwarna putih atau merah muda dengan biji-biji kecil di tengahnya. Manfaat jambu termasuk kaya akan vitamin C yang baik untuk menjaga kesehatan sistem kekebalan tubuh dan membantu penyerapan zat besi. Jambu juga mengandung serat tinggi yang mendukung kesehatan pencernaan dan mengurangi risiko sembelit. Selain itu, jambu mengandung antioksidan yang dapat melindungi tubuh dari kerusakan radikal bebas, serta mengandung nutrisi seperti vitamin A dan kalium yang penting untuk kesehatan mata dan fungsi otot yang normal.",https://storage.googleapis.com/cooke_storage/food/jambu.png
Kiwi,61,0.5,3,312,3,9,1.1,34,0.3,1,1,1,1,1,"Kiwi adalah buah kecil berkulit berambut dengan daging buah yang berwarna hijau atau kekuningan. Rasanya segar dan asam manis dengan tekstur lembut. Manfaat kiwi termasuk mengandung vitamin C yang tinggi, yang berperan penting dalam menjaga kesehatan sistem kekebalan tubuh, memperkuat jaringan ikat, dan mempercepat penyembuhan luka. Kiwi juga kaya akan serat, yang membantu menjaga kesehatan pencernaan dan mengurangi risiko sembelit. Selain itu, kiwi mengandung antioksidan dan fitonutrien, seperti lutein dan zeaxanthin, yang bermanfaat untuk kesehatan mata dan melindungi mata dari kerusakan akibat radikal bebas. Kandungan kalium dalam kiwi juga mendukung fungsi otot dan menjaga tekanan darah yang sehat.",https://storage.googleapis.com/cooke_storage/food/kiwi.png
Mangga,60,0.4,1,168,1.6,14,0.8,11,0.2,1,1,1,1,1,"Mangga adalah buah tropis yang memiliki kulit berwarna hijau atau kuning dengan daging buah berwarna jingga atau kuning. Rasanya manis dan lezat, dengan tekstur yang lembut dan juicy. Manfaat mangga termasuk kaya akan vitamin C, yang berperan penting dalam meningkatkan sistem kekebalan tubuh dan melindungi sel-sel tubuh dari kerusakan. Mangga juga mengandung serat yang tinggi, yang baik untuk pencernaan dan menjaga kesehatan usus. Selain itu, mangga mengandung vitamin A, yang penting untuk kesehatan mata, serta antioksidan dan enzim yang dapat membantu mengurangi peradangan dalam tubuh. Konsumsi mangga juga dapat memberikan manfaat bagi kesehatan kulit dan memperbaiki tekstur rambut.",https://storage.googleapis.com/cooke_storage/food/mango.png
Melon,36,0.1,18,228,0.8,8.1,0.5,6,0.2,1,0,1,1,0,"Melon adalah buah segar yang memiliki kulit halus dan daging buah berwarna oranye, hijau, atau kuning. Daging buahnya juicy dan memiliki rasa manis yang menyegarkan. Manfaat melon termasuk mengandung banyak air, menjadikannya buah yang baik untuk menjaga hidrasi tubuh. Selain itu, melon juga kaya akan vitamin C, yang berperan penting dalam menjaga sistem kekebalan tubuh dan kesehatan kulit. Melon juga mengandung serat, yang membantu menjaga kesehatan pencernaan dan memperbaiki fungsi usus. Kandungan antioksidan dalam melon juga dapat melindungi tubuh dari kerusakan radikal bebas dan mengurangi risiko penyakit kronis.",https://storage.googleapis.com/cooke_storage/food/melon.png
Naga,60,0.4,9,36,1,9,1.2,6,0.4,0,0,0,1,0,"Buah naga, juga dikenal sebagai pitaya, adalah buah tropis dengan kulit yang berduri dan daging buah yang berwarna cerah, seperti merah muda atau putih. Daging buahnya berbiji kecil dan memiliki tekstur lembut dengan rasa manis dan segar. Manfaat buah naga termasuk mengandung antioksidan tinggi, yang membantu melawan radikal bebas dan menjaga kesehatan sel-sel tubuh. Buah naga juga mengandung serat, yang baik untuk pencernaan dan menjaga rasa kenyang. Selain itu, buah naga mengandung vitamin C dan B kompleks, yang mendukung sistem kekebalan tubuh, menjaga kesehatan kulit, dan meningkatkan energi. Buah naga juga diketahui memiliki kandungan zat besi, magnesium, dan kalsium yang berguna untuk kesehatan tulang dan otot.",https://storage.googleapis.com/cooke_storage/food/naga.png
Nanas,50,0.1,1,109,1.4,9.9,0.5,13,0.3,1,0,0,1,1,"Nanas adalah buah tropis yang memiliki kulit berduri dan daging buah yang manis dan asam. Daging buahnya berwarna kuning dengan tekstur serat yang juicy. Manfaat nanas termasuk mengandung enzim bromelain yang dapat membantu melancarkan pencernaan dan mengurangi peradangan dalam tubuh. Nanas juga kaya akan vitamin C, yang berperan dalam meningkatkan sistem kekebalan tubuh dan menjaga kesehatan kulit. Selain itu, nanas mengandung serat tinggi yang baik untuk pencernaan dan menjaga kesehatan usus. Buah nanas juga mengandung mineral seperti mangan, yang penting untuk fungsi tubuh yang normal dan pembentukan tulang yang sehat.",https://storage.googleapis.com/cooke_storage/food/nanas.png
Jeruk,47,0.1,0,181,2.4,9.4,0.9,40,0.1,1,0,0,1,1,"Buah jeruk adalah buah yang berkulit tebal dengan daging buah yang segar dan berair. Jeruk memiliki rasa asam manis yang khas dan terdapat berbagai jenis, seperti jeruk manis, jeruk mandarin, dan jeruk nipis. Manfaat jeruk termasuk mengandung vitamin C yang tinggi, yang penting untuk menjaga sistem kekebalan tubuh, memperbaiki kesehatan kulit, dan memperkuat jaringan ikat. Jeruk juga mengandung serat, yang baik untuk pencernaan dan menjaga kesehatan usus. Selain itu, jeruk mengandung senyawa flavonoid, seperti hesperidin, yang berperan sebagai antioksidan dan dapat membantu melindungi tubuh dari kerusakan radikal bebas. Konsumsi jeruk juga dikaitkan dengan penurunan risiko penyakit jantung, peningkatan penyerapan zat besi dalam tubuh, serta menjaga kesehatan mata dan tulang.",https://storage.googleapis.com/cooke_storage/food/jeruk.png
